央广网·国家,#genre#
中国之声,https://ngcdn001.cnr.cn/live/zgzs/index.m3u8
经济之声,https://ngcdn002.cnr.cn/live/jjzs/index.m3u8
音乐之声,https://ngcdn003.cnr.cn/live/yyzs/index.m3u8
经典音乐广播,https://ngcdn004.cnr.cn/live/dszs/index.m3u8
台海之声,https://ngcdn005.cnr.cn/live/zhzs/index.m3u8
神州之声,https://ngcdn006.cnr.cn/live/szzs/index.m3u8
民族之声,https://ngcdn009.cnr.cn/live/mzzs/index.m3u8
文艺之声,https://ngcdn010.cnr.cn/live/wyzs/index.m3u8
老年之声,https://ngcdn011.cnr.cn/live/lnzs/index.m3u8
藏语广播,https://ngcdn012.cnr.cn/live/zygb/index.m3u8
阅读之声,https://ngcdn014.cnr.cn/live/ylgb/index.m3u8
维语广播,https://ngcdn013.cnr.cn/live/wygb/index.m3u8
香港之声,https://ngcdn008.cnr.cn/live/xgzs/index.m3u8
中国交通广播,https://ngcdn016.cnr.cn/live/gsgljtgb/index.m3u8
中国乡村之声,https://ngcdn017.cnr.cn/live/xczs/index.m3u8
哈语广播,https://ngcdn025.cnr.cn/live/hygb/index.m3u8
环球资讯广播,https://sk.cri.cn/905.m3u8
南海之声,https://sk.cri.cn/nhzs.m3u8
轻松调频,https://sk.cri.cn/915.m3u8
HITFM国际流行音乐,https://sk.cri.cn/887.m3u8
英语资讯广播 CGTN Radio,https://sk.cri.cn/am846.m3u8

央广网·北京,#genre#
北京交通广播,https://cnlive.cnr.cn/hls/bjjtgb.m3u8
北京新闻广播,https://satellitepull.cnr.cn/live/wxbjxwgb/playlist.m3u8
北京城市广播,https://satellitepull.cnr.cn/live/wxbjcsfwgl/playlist.m3u8
北京音乐广播,https://cnlive.cnr.cn/hls/bjyygb.m3u8

央广网·河北,#genre#
河北综合广播,https://satellitepull.cnr.cn/live/wxhebzhgb/playlist.m3u8
河北经济广播,https://satellitepull.cnr.cn/live/wxhebjjgb/playlist.m3u8
河北交通广播,https://satellitepull.cnr.cn/live/wxhebjtgb/playlist.m3u8
河北音乐广播,https://satellitepull.cnr.cn/live/wxhebyygb/playlist.m3u8
河北生活广播,https://satellitepull.cnr.cn/live/wxhebshgb/playlist.m3u8
河北文艺广播,https://satellitepull.cnr.cn/live/wxhebwygb/playlist.m3u8

央广网·山西,#genre#
山西综合广播,https://satellitepull.cnr.cn/live/wxssxxwgb/playlist.m3u8

央广网·内蒙古,#genre#
内蒙古音乐之声,https://satellitepull.cnr.cn/live/wx32nmgyygb/playlist.m3u8
内蒙古蒙古语广播,https://satellitepull.cnr.cn/live/wx32nmgmygb/playlist.m3u8
内蒙古评书曲艺广播,https://satellitepull.cnr.cn/live/wx32nmgpsqy/playlist.m3u8
内蒙古经济生活广播,https://satellitepull.cnr.cn/live/wx32nmgjjgb/playlist.m3u8
内蒙古绿野之声广播,https://satellitepull.cnr.cn/live/wx32nmglyzs/playlist.m3u8
内蒙古新闻综合广播,https://satellitepull.cnr.cn/live/wx32nmghyzhxwgb/playlist.m3u8
内蒙古交通之声广播,https://satellitepull.cnr.cn/live/wx32nmgjtgb/playlist.m3u8
内蒙古对外广播,https://satellitepull.cnr.cn/live/wx32nmgdwgb/playlist.m3u8
呼伦贝尔蒙语广播,https://satellitepull.cnr.cn/live/wx32nmghlbemygb/playlist.m3u8
呼伦贝尔汉语广播,https://satellitepull.cnr.cn/live/wx32nmghlbehygb/playlist.m3u8
蒙古语综合广播,https://satellitepull.cnr.cn/live/wx32nmgmyxwgb/playlist.m3u8

央广网·辽宁,#genre#
辽宁综合广播,https://satellitepull.cnr.cn/live/wxlnzhgb/playlist.m3u8
辽宁交通广播,https://satellitepull.cnr.cn/live/wxlnjtgb/playlist.m3u8
辽宁经济广播,https://satellitepull.cnr.cn/live/wxlnjjtb/playlist.m3u8
辽宁乡村广播,https://satellitepull.cnr.cn/live/wxlnxcgb/playlist.m3u8
辽宁文艺广播,https://satellitepull.cnr.cn/live/wxlnwygb/playlist.m3u8

央广网·吉林,#genre#
吉林新闻综合广播,https://satellitepull.cnr.cn/live/wxjlxwzhgb/playlist.m3u8
吉林乡村广播,https://satellitepull.cnr.cn/live/wxjlxcgb/playlist.m3u8
吉林交通广播,https://satellitepull.cnr.cn/live/wxjljtgb/playlist.m3u8
吉林经济广播,https://satellitepull.cnr.cn/live/wxjljjgb/playlist.m3u8
延边新闻广播,https://satellitepull.cnr.cn/live/wxybxwgb/playlist.m3u8
延边文艺生活广播,https://satellitepull.cnr.cn/live/wxybwyshgb/playlist.m3u8

央广网·黑龙江,#genre#
黑龙江新闻广播,https://satellitepull.cnr.cn/live/wx32hljxwgb/playlist.m3u8
黑龙江女性广播,https://satellitepull.cnr.cn/live/wx32hljnxgb/playlist.m3u8
黑龙江音乐广播,https://satellitepull.cnr.cn/live/wx32hljyygb/playlist.m3u8
黑龙江高校广播,https://satellitepull.cnr.cn/live/wx32hljgxgb/playlist.m3u8
黑龙江朝语广播,https://satellitepull.cnr.cn/live/wx32hljcygb/playlist.m3u8
黑龙江爱家频道广播,https://satellitepull.cnr.cn/live/wx32hljajgb/playlist.m3u8
黑龙江私家车频道广播,https://satellitepull.cnr.cn/live/wx32hljsjcgb/playlist.m3u8
黑龙江乡村广播,https://satellitepull.cnr.cn/live/wx32hljxcgb/playlist.m3u8
黑龙江交通广播,https://satellitepull.cnr.cn/live/wx32hljjtgb/playlist.m3u8

央广网·上海,#genre#
上海东方广播电台,https://satellitepull.cnr.cn/live/wx32dfgbdt/playlist.m3u8
上海新闻广播,https://satellitepull.cnr.cn/live/wx32shrmgb/playlist.m3u8

央广网·江苏,#genre#
江苏新闻综合广播,https://satellitepull.cnr.cn/live/wx32jsxwzhgb/playlist.m3u8
江苏新闻广播,https://satellitepull.cnr.cn/live/wx32jsxwgb/playlist.m3u8
江苏经典流行音乐,https://satellitepull.cnr.cn/live/wx32jsjdlxyy/playlist.m3u8
江苏音乐广播,https://satellitepull.cnr.cn/live/wx32jsyygb/playlist.m3u8
江苏文艺广播,https://satellitepull.cnr.cn/live/wx32jswygb/playlist.m3u8
江苏金陵之声,https://satellitepull.cnr.cn/live/wx32jsqctp/playlist.m3u8
江苏交通广播,https://satellitepull.cnr.cn/live/wx32jsjtgb/playlist.m3u8
江苏财经广播,https://satellitepull.cnr.cn/live/wx32jscjgb/playlist.m3u8
江苏健康广播,https://satellitepull.cnr.cn/live/wx32jsjkgb/playlist.m3u8
江苏故事广播,https://satellitepull.cnr.cn/live/wx32jsgsgb/playlist.m3u8

央广网·浙江,#genre#
浙江交通之声,https://satellitepull.cnr.cn/live/wxzjjtgb/playlist.m3u8
浙江女主播电台,https://satellitepull.cnr.cn/live/wxzj1045/playlist.m3u8
